"table","code","name"
call_types_sound_sources,OD_BURST_PULSE:GTBW,OD_BURST_PULSE:GTBW
call_types_sound_sources,OD_BURST_PULSE:GUDO,OD_BURST_PULSE:GUDO
call_types_sound_sources,OD_BURST_PULSE:HAPO,OD_BURST_PULSE:HAPO
call_types_sound_sources,OD_BURST_PULSE:HEADO,OD_BURST_PULSE:HEADO
call_types_sound_sources,OD_BURST_PULSE:HEBW,OD_BURST_PULSE:HEBW
call_types_sound_sources,OD_BURST_PULSE:HECDO,OD_BURST_PULSE:HECDO
call_types_sound_sources,OD_BURST_PULSE:HODO,OD_BURST_PULSE:HODO
call_types_sound_sources,OD_BURST_PULSE:HUBW,OD_BURST_PULSE:HUBW
call_types_sound_sources,OD_BURST_PULSE:INRDO,OD_BURST_PULSE:INRDO
call_types_sound_sources,OD_BURST_PULSE:IOBD,OD_BURST_PULSE:IOBD
call_types_sound_sources,OD_BURST_PULSE:IPHD,OD_BURST_PULSE:IPHD
call_types_sound_sources,OD_BURST_PULSE:IRRDO,OD_BURST_PULSE:IRRDO
call_types_sound_sources,OD_BURST_PULSE:KIWH,OD_BURST_PULSE:KIWH
call_types_sound_sources,OD_BURST_PULSE:KIWHAANT,OD_BURST_PULSE:KIWHAANT
call_types_sound_sources,OD_BURST_PULSE:KIWHBANT,OD_BURST_PULSE:KIWHBANT
call_types_sound_sources,OD_BURST_PULSE:KIWHCANT,OD_BURST_PULSE:KIWHCANT
call_types_sound_sources,OD_BURST_PULSE:KIWHOF,OD_BURST_PULSE:KIWHOF
call_types_sound_sources,OD_BURST_PULSE:KIWHRE,OD_BURST_PULSE:KIWHRE
call_types_sound_sources,OD_BURST_PULSE:KIWHTR,OD_BURST_PULSE:KIWHTR
call_types_sound_sources,OD_BURST_PULSE:LBCD,OD_BURST_PULSE:LBCD
call_types_sound_sources,OD_BURST_PULSE:LBWH,OD_BURST_PULSE:LBWH
call_types_sound_sources,OD_BURST_PULSE:LFPW,OD_BURST_PULSE:LFPW
call_types_sound_sources,OD_BURST_PULSE:MEPK,OD_BURST_PULSE:MEPK
call_types_sound_sources,OD_BURST_PULSE:MEWH,OD_BURST_PULSE:MEWH
call_types_sound_sources,OD_BURST_PULSE:MMME,OD_BURST_PULSE:MMME
call_types_sound_sources,OD_BURST_PULSE:NAWH,OD_BURST_PULSE:NAWH
call_types_sound_sources,OD_BURST_PULSE:NBWH,OD_BURST_PULSE:NBWH
call_types_sound_sources,OD_BURST_PULSE:NRWD,OD_BURST_PULSE:NRWD
call_types_sound_sources,OD_BURST_PULSE:OBDO,OD_BURST_PULSE:OBDO
call_types_sound_sources,OD_BURST_PULSE:PEBW,OD_BURST_PULSE:PEBW
call_types_sound_sources,OD_BURST_PULSE:PEDO,OD_BURST_PULSE:PEDO
call_types_sound_sources,OD_BURST_PULSE:PIWH,OD_BURST_PULSE:PIWH
call_types_sound_sources,OD_BURST_PULSE:PSDO,OD_BURST_PULSE:PSDO
call_types_sound_sources,OD_BURST_PULSE:PSWH,OD_BURST_PULSE:PSWH
call_types_sound_sources,OD_BURST_PULSE:PWDO,OD_BURST_PULSE:PWDO
call_types_sound_sources,OD_BURST_PULSE:PYBW,OD_BURST_PULSE:PYBW
call_types_sound_sources,OD_BURST_PULSE:PYKW,OD_BURST_PULSE:PYKW
call_types_sound_sources,OD_BURST_PULSE:RTDO,OD_BURST_PULSE:RTDO
call_types_sound_sources,OD_BURST_PULSE:SADO,OD_BURST_PULSE:SADO
call_types_sound_sources,OD_BURST_PULSE:SBWH,OD_BURST_PULSE:SBWH
